,Tacgia,Link,Namsinh,Quotes
0,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14 00:00:00,The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.
1,J.K. Rowling,http://quotes.toscrape.com/author/J-K-Rowling,1965-07-31 00:00:00,"It is our choices, Harry, that show what we truly are, far more than our abilities."
2,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14 00:00:00,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.
3,Jane Austen,http://quotes.toscrape.com/author/Jane-Austen,1775-12-16 00:00:00,"The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid."
4,Marilyn Monroe,http://quotes.toscrape.com/author/Marilyn-Monroe,1926-06-01 00:00:00,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring."
5,Albert Einstein,http://quotes.toscrape.com/author/Albert-Einstein,1879-03-14 00:00:00,Try not to become a man of success. Rather become a man of value.
6,André Gide,http://quotes.toscrape.com/author/Andre-Gide,1869-11-22 00:00:00,It is better to be hated for what you are than to be loved for what you are not.
7,Thomas A. Edison,http://quotes.toscrape.com/author/Thomas-A-Edison,1847-02-11 00:00:00,"I have not failed. I've just found 10,000 ways that won't work."
8,Eleanor Roosevelt,http://quotes.toscrape.com/author/Eleanor-Roosevelt,1884-10-11 00:00:00,A woman is like a tea bag; you never know how strong it is until it's in hot water.
9,Steve Martin,http://quotes.toscrape.com/author/Steve-Martin,1945-08-14 00:00:00,"A day without sunshine is like, you know, night."
